Text ID,Original Text,Tokens,Entities
1,"Alice went skiing in February in Colorado. She joined the ski club recently. Alice said, 'I went skiing down green slopes and stumbled a lot, but it was fun.'","Alice, went, skiing, in, February, in, Colorado, ., She, joined, the, ski, club, recently, ., Alice, said, ,, ', I, went, skiing, down, green, slopes, and, stumbled, a, lot, ,, but, it, was, fun, ., '","Alice (PERSON), February (DATE), Colorado (GPE), Alice (PERSON)"
2,"Maria ran a marathon in New York City last weekend. She trained for months, and the event was challenging but rewarding. Maria shared, 'I felt incredible crossing the finish line.'","Maria, ran, a, marathon, in, New, York, City, last, weekend, ., She, trained, for, months, ,, and, the, event, was, challenging, but, rewarding, ., Maria, shared, ,, ', I, felt, incredible, crossing, the, finish, line, ., '","Maria (PERSON), New York City (GPE), last weekend (DATE), months (DATE), Maria (PERSON)"
3,"John went hiking in the Rocky Mountains in August. He reached the summit just in time for the sunset. John remarked, 'It was a breathtaking view from up there.'","John, went, hiking, in, the, Rocky, Mountains, in, August, ., He, reached, the, summit, just, in, time, for, the, sunset, ., John, remarked, ,, ', It, was, a, breathtaking, view, from, up, there, ., '","John (PERSON), the Rocky Mountains (LOC), August (DATE), John (PERSON)"
4,"Sarah spent the day at the beach in California last Saturday. She built sandcastles and swam in the ocean. Sarah laughed, 'The water was perfect for swimming.'","Sarah, spent, the, day, at, the, beach, in, California, last, Saturday, ., She, built, sandcastles, and, swam, in, the, ocean, ., Sarah, laughed, ,, ', The, water, was, perfect, for, swimming, ., '","Sarah (PERSON), the day (DATE), California (GPE), last Saturday (DATE), Sarah (PERSON)"
5,"James participated in a chess tournament in London last month. He faced some tough opponents but managed to win first place. James smiled, 'It was a thrilling competition!'","James, participated, in, a, chess, tournament, in, London, last, month, ., He, faced, some, tough, opponents, but, managed, to, win, first, place, ., James, smiled, ,, ', It, was, a, thrilling, competition, !, '","James (PERSON), London (GPE), last month (DATE), first (ORDINAL), James (PERSON)"
6,"Emma visited Paris for the first time last summer. She toured the Eiffel Tower and explored the Louvre Museum. Emma exclaimed, 'The art and architecture were amazing!'","Emma, visited, Paris, for, the, first, time, last, summer, ., She, toured, the, Eiffel, Tower, and, explored, the, Louvre, Museum, ., Emma, exclaimed, ,, ', The, art, and, architecture, were, amazing, !, '","Emma (PERSON), Paris (GPE), first (ORDINAL), last summer (DATE), the Eiffel Tower (FAC), the Louvre Museum (ORG), Emma (PERSON)"
7,"David ran a 5K race in his hometown last Sunday. He trained for a month and felt accomplished crossing the finish line. David said, 'I can't wait for the next race!'","David, ran, a, 5, K, race, in, his, hometown, last, Sunday, ., He, trained, for, a, month, and, felt, accomplished, crossing, the, finish, line, ., David, said, ,, ', I, ca, n't, wait, for, the, next, race, !, '","David (PERSON), 5 (CARDINAL), last Sunday (DATE), a month (DATE), David (PERSON)"
8,"Sophia went camping in the Appalachian Mountains last autumn. She set up a tent by a beautiful lake and cooked dinner over a campfire. Sophia enjoyed, 'The peace and quiet were just what I needed.'","Sophia, went, camping, in, the, Appalachian, Mountains, last, autumn, ., She, set, up, a, tent, by, a, beautiful, lake, and, cooked, dinner, over, a, campfire, ., Sophia, enjoyed, ,, ', The, peace, and, quiet, were, just, what, I, needed, ., '","Sophia (PERSON), the Appalachian Mountains (LOC), last autumn (DATE), Sophia (PERSON)"
9,"Liam attended a cooking class in Rome last spring. He learned to make traditional Italian pasta dishes. Liam said, 'I can’t wait to try these recipes at home!'","Liam, attended, a, cooking, class, in, Rome, last, spring, ., He, learned, to, make, traditional, Italian, pasta, dishes, ., Liam, said, ,, ', I, ca, n’t, wait, to, try, these, recipes, at, home, !, '","Liam (PERSON), Rome (GPE), last spring (DATE), Italian (NORP), Liam (PERSON)"
10,"Olivia participated in a yoga retreat in Bali last year. She practiced mindfulness and meditation every morning. Olivia shared, 'It was the most relaxing experience of my life.'Ethan visited Tokyo during the cherry blossom season. He explored the vibrant city and took part in a tea ceremony. Ethan said, 'The culture here is incredible!'","Olivia, participated, in, a, yoga, retreat, in, Bali, last, year, ., She, practiced, mindfulness, and, meditation, every, morning, ., Olivia, shared, ,, ', It, was, the, most, relaxing, experience, of, my, life, ., 'Ethan, visited, Tokyo, during, the, cherry, blossom, season, ., He, explored, the, vibrant, city, and, took, part, in, a, tea, ceremony, ., Ethan, said, ,, ', The, culture, here, is, incredible, !, '","Olivia (PERSON), Bali (GPE), last year (DATE), Olivia (PERSON), Tokyo (GPE), Ethan (PERSON)"
11,"Charlotte ran a half-marathon in Chicago in October. She trained for months and felt a great sense of achievement at the finish line. Charlotte said, 'I’m so proud of my progress!'","Charlotte, ran, a, half, -, marathon, in, Chicago, in, October, ., She, trained, for, months, and, felt, a, great, sense, of, achievement, at, the, finish, line, ., Charlotte, said, ,, ', I, ’m, so, proud, of, my, progress, !, '","Charlotte (GPE), Chicago (GPE), October (DATE), months (DATE), Charlotte (GPE)"
12,"Benjamin spent a week in the Swiss Alps last winter. He enjoyed skiing on the snowy slopes and relaxing by the fireplace. Benjamin remarked, 'The scenery was absolutely breathtaking!'","Benjamin, spent, a, week, in, the, Swiss, Alps, last, winter, ., He, enjoyed, skiing, on, the, snowy, slopes, and, relaxing, by, the, fireplace, ., Benjamin, remarked, ,, ', The, scenery, was, absolutely, breathtaking, !, '","Benjamin (PERSON), a week (DATE), Swiss (NORP), Alps (GPE), last winter (DATE), Benjamin (PERSON)"
13,"Isabella went on a road trip along the Pacific Coast Highway last summer. She visited many beaches and enjoyed the sunsets. Isabella shared, 'This trip was everything I needed!'","Isabella, went, on, a, road, trip, along, the, Pacific, Coast, Highway, last, summer, ., She, visited, many, beaches, and, enjoyed, the, sunsets, ., Isabella, shared, ,, ', This, trip, was, everything, I, needed, !, '","Isabella (PERSON), the Pacific Coast Highway (LOC), last summer (DATE), Isabella (PERSON)"
14,"Henry went to a rock climbing gym for the first time last week. He climbed several walls and felt a rush of adrenaline. Henry said, 'I’m definitely going to do this again!'","Henry, went, to, a, rock, climbing, gym, for, the, first, time, last, week, ., He, climbed, several, walls, and, felt, a, rush, of, adrenaline, ., Henry, said, ,, ', I, ’m, definitely, going, to, do, this, again, !, '","Henry (PERSON), first (ORDINAL), last week (DATE), Henry (PERSON)"
15,"Mia attended a photography workshop in New Zealand last winter. She learned new techniques for capturing landscapes and portraits. Mia said, 'I can’t wait to apply what I’ve learned!'","Mia, attended, a, photography, workshop, in, New, Zealand, last, winter, ., She, learned, new, techniques, for, capturing, landscapes, and, portraits, ., Mia, said, ,, ', I, ca, n’t, wait, to, apply, what, I, ’ve, learned, !, '","Mia (PERSON), New Zealand (GPE), last winter (DATE), Mia (PERSON)"
16,"Lucas visited Barcelona last spring. He explored the city's architecture, including Gaudí’s famous Sagrada Família. Lucas said, 'The architecture here is out of this world!'","Lucas, visited, Barcelona, last, spring, ., He, explored, the, city, 's, architecture, ,, including, Gaudí, ’s, famous, Sagrada, Família, ., Lucas, said, ,, ', The, architecture, here, is, out, of, this, world, !, '","Lucas (PERSON), Barcelona (GPE), last spring (DATE), Gaudí (PERSON), Sagrada Família (ORG), Lucas (PERSON)"
17,"Ava took a painting class in Florence during the summer. She learned to paint landscapes with watercolors. Ava said, 'It was amazing to capture the beauty of Italy on canvas!'","Ava, took, a, painting, class, in, Florence, during, the, summer, ., She, learned, to, paint, landscapes, with, watercolors, ., Ava, said, ,, ', It, was, amazing, to, capture, the, beauty, of, Italy, on, canvas, !, '","Ava (PERSON), Florence (GPE), the summer (DATE), Ava (PERSON), Italy (GPE)"
18,"Zoe went backpacking in the Canadian Rockies last year. She hiked along scenic trails and camped under the stars. Zoe shared, 'The views from the top were worth every step!'","Zoe, went, backpacking, in, the, Canadian, Rockies, last, year, ., She, hiked, along, scenic, trails, and, camped, under, the, stars, ., Zoe, shared, ,, ', The, views, from, the, top, were, worth, every, step, !, '","Zoe (PERSON), Canadian (NORP), last year (DATE), Zoe (PERSON)"
19,"Jack participated in a football tournament in Madrid last summer. His team made it to the finals, and although they didn’t win, Jack said, 'It was an unforgettable experience!'","Jack, participated, in, a, football, tournament, in, Madrid, last, summer, ., His, team, made, it, to, the, finals, ,, and, although, they, did, n’t, win, ,, Jack, said, ,, ', It, was, an, unforgettable, experience, !, '","Jack (PERSON), Madrid (GPE), last summer (DATE), Jack (PERSON)"
20,"Grace joined a sailing trip around the Greek Islands last spring. She spent the days on the water and the evenings in charming coastal towns. Grace said, 'It was the perfect getaway!'Emma visited Paris for the first time last summer. She toured the Eiffel Tower and explored the Louvre Museum. Emma exclaimed, 'The art and architecture were amazing!'","Grace, joined, a, sailing, trip, around, the, Greek, Islands, last, spring, ., She, spent, the, days, on, the, water, and, the, evenings, in, charming, coastal, towns, ., Grace, said, ,, ', It, was, the, perfect, getaway!'Emma, visited, Paris, for, the, first, time, last, summer, ., She, toured, the, Eiffel, Tower, and, explored, the, Louvre, Museum, ., Emma, exclaimed, ,, ', The, art, and, architecture, were, amazing, !, '","Grace (ORG), Greek Islands (GPE), last spring (DATE), the days (DATE), Grace (ORG), Paris (GPE), first (ORDINAL), last summer (DATE), the Eiffel Tower (FAC), the Louvre Museum (ORG), Emma (PERSON)"
21,"Emma traveled to Rome during the spring holidays. She visited the Colosseum and enjoyed Italian cuisine. Emma said, 'The food here is incredible!'","Emma, traveled, to, Rome, during, the, spring, holidays, ., She, visited, the, Colosseum, and, enjoyed, Italian, cuisine, ., Emma, said, ,, ', The, food, here, is, incredible, !, '","Emma (PERSON), Rome (GPE), the spring holidays (DATE), Colosseum (ORG), Italian (NORP), Emma (PERSON)"
22,"Last winter, Emma went on a backpacking trip to the Swiss Alps. She spent a few days hiking in the mountains and enjoying the snow. Emma remarked, 'The views were stunning!'","Last, winter, ,, Emma, went, on, a, backpacking, trip, to, the, Swiss, Alps, ., She, spent, a, few, days, hiking, in, the, mountains, and, enjoying, the, snow, ., Emma, remarked, ,, ', The, views, were, stunning, !, '","Last winter (DATE), Emma (PERSON), a few days (DATE), Emma (PERSON)"
23,"Emma took a vacation to Tokyo in early spring. She visited the cherry blossom parks and attended a traditional tea ceremony. Emma commented, 'The culture here is so rich!'","Emma, took, a, vacation, to, Tokyo, in, early, spring, ., She, visited, the, cherry, blossom, parks, and, attended, a, traditional, tea, ceremony, ., Emma, commented, ,, ', The, culture, here, is, so, rich, !, '","Emma (PERSON), Tokyo (GPE), early spring (DATE), Emma (PERSON)"
24,"During the autumn, Emma spent a week in Barcelona. She explored the famous Sagrada Familia and walked through the Gothic Quarter. Emma said, 'Barcelona is full of history!'","During, the, autumn, ,, Emma, spent, a, week, in, Barcelona, ., She, explored, the, famous, Sagrada, Familia, and, walked, through, the, Gothic, Quarter, ., Emma, said, ,, ', Barcelona, is, full, of, history, !, '","Emma (PERSON), a week (DATE), Barcelona (GPE), Sagrada Familia (ORG), the Gothic Quarter (EVENT), Emma (PERSON), Barcelona (GPE)"
25,"Emma went on a road trip along the Pacific Coast Highway last summer. She visited several beach towns and admired the ocean views. Emma shared, 'This was the best road trip ever!'","Emma, went, on, a, road, trip, along, the, Pacific, Coast, Highway, last, summer, ., She, visited, several, beach, towns, and, admired, the, ocean, views, ., Emma, shared, ,, ', This, was, the, best, road, trip, ever, !, '","Emma (PERSON), the Pacific Coast Highway (LOC), last summer (DATE), Emma (PERSON)"
26,"In the fall, Emma went to New York City to attend a fashion event. She visited Central Park and explored various art galleries. Emma exclaimed, 'New York has so much to offer!'","In, the, fall, ,, Emma, went, to, New, York, City, to, attend, a, fashion, event, ., She, visited, Central, Park, and, explored, various, art, galleries, ., Emma, exclaimed, ,, ', New, York, has, so, much, to, offer, !, '","the fall (DATE), Emma (PERSON), New York City (GPE), Central Park (LOC), Emma (PERSON), New York (GPE)"
27,"Emma visited London last year for a cultural exchange program. She toured Buckingham Palace and the Tower of London. Emma said, 'London is full of rich history!'","Emma, visited, London, last, year, for, a, cultural, exchange, program, ., She, toured, Buckingham, Palace, and, the, Tower, of, London, ., Emma, said, ,, ', London, is, full, of, rich, history, !, '","Emma (PERSON), London (GPE), last year (DATE), Buckingham Palace (FAC), the Tower of London (FAC), Emma (PERSON), London (GPE)"
28,"Emma traveled to Kyoto in Japan last spring to experience traditional tea ceremonies and visit ancient temples. She shared, 'Kyoto feels like stepping back in time.'","Emma, traveled, to, Kyoto, in, Japan, last, spring, to, experience, traditional, tea, ceremonies, and, visit, ancient, temples, ., She, shared, ,, ', Kyoto, feels, like, stepping, back, in, time, ., '","Emma (PERSON), Kyoto (GPE), Japan (GPE), last spring (DATE), Kyoto (GPE)"
29,"During her summer break, Emma went to Bali for a yoga retreat. She practiced meditation and enjoyed the peaceful beaches. Emma shared, 'Bali is truly a paradise.'","During, her, summer, break, ,, Emma, went, to, Bali, for, a, yoga, retreat, ., She, practiced, meditation, and, enjoyed, the, peaceful, beaches, ., Emma, shared, ,, ', Bali, is, truly, a, paradise, ., '","summer (DATE), Emma (PERSON), Bali (GPE), Emma (PERSON), Bali (GPE)"
